feature,mean_importance,std_importance
team_a_goals_per_match,0.02494899339593521,0.05941866098372356
team_a_wc_experience,0.015207970935607096,0.037980446032712695
team_b_wc_experience,0.0082977846531808,0.03170073667766074
h2h_a_win_pct,-0.00407499327807981,0.025229042381725936
team_b_win_pct,-0.005558079609265626,0.03846909999149371
team_b_goals_against,-0.0059787707254444515,0.038145917374696456
team_b_goals_per_match,-0.006285945827176259,0.034534953277382915
team_a_goals_against,-0.006802455569431029,0.03657312012852743
h2h_goal_diff,-0.007793435240837356,0.024751260006341046
team_a_win_pct,-0.016962772892250177,0.03893305440029835
