year,model,n_test,accuracy,macro_f1,balanced_accuracy,log_loss
1938,Logistic Regression,18,0.7222222222222222,0.7310541310541311,0.7222222222222223,0.961163690191348
1938,Random Forest,18,0.5555555555555556,0.326007326007326,0.3666666666666667,1.4153989524657247
1938,Gradient Boosting,18,0.6666666666666666,0.611904761904762,0.5888888888888889,1.251367274886988
1950,Logistic Regression,22,0.45454545454545453,0.3595959595959595,0.35714285714285715,1.4888887026748951
1950,Random Forest,22,0.45454545454545453,0.32996632996632996,0.35714285714285715,1.0573426980254996
1950,Gradient Boosting,22,0.3181818181818182,0.22335890878090367,0.2341269841269841,1.807534374471211
1954,Logistic Regression,26,0.19230769230769232,0.18614551083591332,0.27389277389277394,2.602896634308768
1954,Random Forest,26,0.38461538461538464,0.3512949039264828,0.42540792540792544,1.1016688421162777
1954,Gradient Boosting,26,0.38461538461538464,0.3546365914786967,0.4160839160839161,1.288961800050738
1958,Logistic Regression,35,0.37142857142857144,0.2984126984126984,0.35555555555555557,1.7084677036419904
1958,Random Forest,35,0.3142857142857143,0.2152678994784258,0.25555555555555554,1.2835137606096785
1958,Gradient Boosting,35,0.4,0.3291885860035071,0.3444444444444445,1.55016480238044
1962,Logistic Regression,32,0.25,0.23703703703703702,0.3878787878787879,1.6120460940586456
1962,Random Forest,32,0.3125,0.29666119321291734,0.35681818181818176,1.1363300477464708
1962,Gradient Boosting,32,0.46875,0.4478977812311145,0.46098484848484844,1.096040885208536
1966,Logistic Regression,32,0.25,0.2438634713144517,0.3655677655677656,1.2991903655148276
1966,Random Forest,32,0.40625,0.29241261722080136,0.3168498168498169,1.125409378330834
1966,Gradient Boosting,32,0.40625,0.3053763440860215,0.31868131868131866,1.4771378222153595
1970,Logistic Regression,32,0.40625,0.4186243386243386,0.4444444444444444,1.157056137728084
1970,Random Forest,32,0.53125,0.50889085371844,0.5,1.0827619758663178
1970,Gradient Boosting,32,0.46875,0.3481481481481481,0.3666666666666667,1.1548322181369035
1974,Logistic Regression,38,0.39473684210526316,0.38169934640522873,0.3962962962962963,1.0578895786585776
1974,Random Forest,38,0.5789473684210527,0.4726143421795596,0.5111111111111111,0.9682785438599556
1974,Gradient Boosting,38,0.5526315789473685,0.4539393939393939,0.49259259259259264,1.147125313024448
1978,Logistic Regression,38,0.3157894736842105,0.3055555555555555,0.35683760683760685,1.3237526507657091
1978,Random Forest,38,0.4473684210526316,0.41190476190476194,0.4172008547008547,1.0812696733211016
1978,Gradient Boosting,38,0.3684210526315789,0.34037378392217105,0.338497150997151,1.3248168635776452
1982,Logistic Regression,52,0.40384615384615385,0.34095238095238095,0.38696969696969696,1.127038465824906
1982,Random Forest,52,0.38461538461538464,0.3246753246753246,0.3325757575757576,1.145383719303728
1982,Gradient Boosting,52,0.4230769230769231,0.33833545476876353,0.3687121212121212,1.2176777770268108
1986,Logistic Regression,52,0.3076923076923077,0.2913378684807256,0.38625384277558195,1.143871534882351
1986,Random Forest,52,0.46153846153846156,0.43825261158594486,0.4587908066168936,1.037558416554836
1986,Gradient Boosting,52,0.4807692307692308,0.3967248437836673,0.410335236422193,1.100360053697818
1990,Logistic Regression,52,0.3076923076923077,0.290594315245478,0.30654761904761907,1.1559314655632016
1990,Random Forest,52,0.4230769230769231,0.32395382395382394,0.3601190476190476,1.0977652231009825
1990,Gradient Boosting,52,0.5384615384615384,0.3454726368159204,0.36904761904761907,1.0272805319757334
1994,Logistic Regression,52,0.3269230769230769,0.3099325516581738,0.29237891737891736,1.1070479746603348
1994,Random Forest,52,0.4807692307692308,0.41314102564102556,0.4006410256410256,1.080810884192577
1994,Gradient Boosting,52,0.5384615384615384,0.41269841269841273,0.41595441595441596,1.1106317132506833
1998,Logistic Regression,64,0.515625,0.49753086419753084,0.5208333333333334,1.0308226892918613
1998,Random Forest,64,0.578125,0.5184616259885076,0.5104166666666666,0.9736975468600186
1998,Gradient Boosting,64,0.53125,0.3623655913978494,0.4166666666666667,0.9499564964210818
2002,Logistic Regression,64,0.40625,0.4024844720496894,0.40952380952380957,1.0964954361801578
2002,Random Forest,64,0.421875,0.39440878619312514,0.3952380952380952,1.1314306349918795
2002,Gradient Boosting,64,0.484375,0.41249703861644155,0.41984126984126985,1.0963032830126354
2006,Logistic Regression,64,0.515625,0.4856209150326798,0.4991341991341991,1.0063868213596865
2006,Random Forest,64,0.53125,0.4434865900383142,0.4401154401154401,0.9353973534257534
2006,Gradient Boosting,64,0.53125,0.40157881334351925,0.4075517075517076,0.9010389869565607
2010,Logistic Regression,64,0.46875,0.4582536480574258,0.47008547008547,1.0790435230348279
2010,Random Forest,64,0.421875,0.3946400946400946,0.41742979242979245,1.0774122977703615
2010,Gradient Boosting,64,0.421875,0.3834954317712938,0.3876678876678877,1.103592598242339
2014,Logistic Regression,64,0.390625,0.36400036400036395,0.3913546698872786,1.0834357452849477
2014,Random Forest,64,0.421875,0.3827893467237729,0.41218800322061194,1.0388758109932144
2014,Gradient Boosting,64,0.515625,0.38081871345029245,0.39482689210950084,0.9556023543682772
2018,Logistic Regression,64,0.4375,0.40224637681159425,0.38888888888888884,1.0441705433903095
2018,Random Forest,64,0.484375,0.4095915678524374,0.4012345679012346,1.0343287351030672
2018,Gradient Boosting,64,0.5625,0.4055721393034826,0.4382716049382716,0.9598768538369933
2022,Logistic Regression,64,0.5,0.46479352916134525,0.4685099846390169,1.074651086773241
2022,Random Forest,64,0.59375,0.5277777777777778,0.5313620071684587,1.023285323376751
2022,Gradient Boosting,64,0.546875,0.4025117739403454,0.4429083461341526,1.0259824826673762
